Date,At&t,Xom,BA,Wmt,Wix
10/10/2017,38.5,82.260002,260.929993,84.129997,68.449997
10/11/2017,38.189999,82.599998,261.440002,85.730003,69.449997
10/12/2017,35.860001,82.43,261.910004,86.099998,69.5
10/13/2017,35.700001,82.410004,260.73999,86.620003,68.849998
10/16/2017,36.169998,82.809998,259.75,85.739998,68.900002
10/17/2017,36.23,82.959999,258.619995,85.980003,69.349998
10/18/2017,35.709999,82.760002,260.040009,86.220001,69.550003
10/19/2017,35.689999,82.739998,259.040009,86.400002,68.099998
10/20/2017,35.540001,83.110001,264.75,87.440002,69.199997
10/23/2017,35.25,83.239998,262.320007,88.650002,69.199997
10/24/2017,34.860001,83.470001,266,87.980003,69.75
10/25/2017,33.490002,83.169998,258.420013,88.480003,67.75
10/26/2017,33.68,83.470001,259.269989,88.620003,67.550003
10/27/2017,33.970001,83.709999,256.459991,88.169998,68.199997
10/30/2017,33.540001,83.540001,259.25,86.949997,69.849998
10/31/2017,33.650002,83.349998,257.980011,87.309998,69.800003
11/1/2017,33.549999,83.870003,258.5,87.940002,70.5
11/2/2017,33.169998,83.529999,262.630005,88.800003,70.449997
11/3/2017,33.299999,83.18,261.75,89.68,69.650002
11/6/2017,32.860001,83.75,264.070007,88.699997,70.599998
11/7/2017,33.07,83.580002,266.130005,88.949997,69.349998
11/8/2017,33.439999,83.470001,265.570007,90.260002,60.025002
11/9/2017,34,83.970001,262.700012,90.300003,56.599998
11/10/2017,34.220001,82.940002,260.850006,90.919998,55.650002
11/13/2017,34.169998,82.889999,262.420013,90.989998,55
11/14/2017,33.720001,82.239998,261.76001,91.089996,53.799999
11/15/2017,33.810001,81.209999,262.859985,89.830002,54.099998
11/16/2017,34.52,80.559998,263.700012,99.620003,56.900002
11/17/2017,34.509998,80.239998,262.26001,97.470001,56.150002
11/20/2017,34.639999,80.550003,264.630005,97.480003,55.400002
11/21/2017,34.330002,80.870003,266.98999,96.519997,54.349998
11/22/2017,34.869999,81.099998,265.149994,96.410004,55.200001
11/24/2017,34.810001,81.419998,265.880005,96.620003,54.849998
11/27/2017,34.68,81.110001,265.579987,96.620003,56.349998
11/28/2017,35.419998,81.669998,267.98999,96.769997,55.5
11/29/2017,36.48,82.269997,269.299988,97.559998,53.75
11/30/2017,36.380001,83.290001,276.799988,97.230003,54.900002
12/1/2017,36.5,83.459999,271.380005,97.349998,53.700001
12/4/2017,37.27,83.57,277.970001,97.010002,52.349998
12/5/2017,36.549999,82.889999,275.540009,97.830002,52.200001
